,Latitude,Longitude,Mosquito_collection_year_end,IR_Test_.mortality,AFR_PPP_2015_adj_v2,X2015_-1ture_Africa_ITN.2015,X2015_-1ture_Africa_PfPR.2015,layer,cells,AFR_PPP_2015_adj_v2.1,X2015_-1ture_Africa_ITN.2015.1,X2015_-1ture_Africa_PfPR.2015.1,layer.1
623,-15.70132,34.39927,2015,97,3295.771484,0.928603812,0.140645623,2,2147895,3295.771373,0.928603812,0.140645623,2
624,-15.70132,34.39927,2015,97,3295.771484,0.928603812,0.140645623,2,2147895,3295.771373,0.928603812,0.140645623,2
630,-15.70132,34.39927,2015,100,3295.771484,0.928603812,0.140645623,2,2147895,3295.771373,0.928603812,0.140645623,2
598,-15.764222,35.658896,2015,46.5,9956.327148,0.96059649,0.121300913,2,2151287,9956.327063,0.96059649,0.121300913,2
606,-15.764222,35.658896,2015,71.5,9956.327148,0.96059649,0.121300913,2,2151287,9956.327063,0.96059649,0.121300913,2
1297,-15.764222,35.658896,2014,71,9956.327148,0.96059649,0.121300913,2,2151287,9956.327063,0.96059649,0.121300913,2
597,-16.01413,34.79284,2015,44,9446.460938,0.934685503,0.061782908,1,2161353,9446.460745,0.934685503,0.061782908,1
605,-16.01413,34.79284,2015,69,9446.460938,0.934685503,0.061782908,1,2161353,9446.460745,0.934685503,0.061782908,1
625,-16.02413,34.82353,2015,69,9446.460938,0.934685503,0.061782908,1,2161353,9446.460745,0.934685503,0.061782908,1
631,-16.02413,34.82353,2015,44,9446.460938,0.934685503,0.061782908,1,2161353,9446.460745,0.934685503,0.061782908,1
1294,-16.01413,34.79284,2014,56,9446.460938,0.934685503,0.061782908,1,2161353,9446.460745,0.934685503,0.061782908,1
1311,-16.01897,34.81775,2014,56,9446.460938,0.934685503,0.061782908,1,2161353,9446.460745,0.934685503,0.061782908,1
182,-16.09683,35.77207,2016,45,30009.77148,0.88456811,0.137501299,2,2164738,30009.77072,0.88456811,0.137501299,2
184,-16.09683,35.77207,2016,71,30009.77148,0.88456811,0.137501299,2,2164738,30009.77072,0.88456811,0.137501299,2
667,-16.09683,35.77207,2015,100,30009.77148,0.88456811,0.137501299,2,2164738,30009.77072,0.88456811,0.137501299,2
675,-16.13985,33.61227,2015,74,93244.35156,0.678004309,0.130223513,2,2166367,93244.35482,0.678004309,0.130223513,2
690,-16.13985,33.61227,2015,86,93244.35156,0.678004309,0.130223513,2,2166367,93244.35482,0.678004309,0.130223513,2
1291,-16.1958,34.7741,2014,14.3,4461.693359,0.932616913,0.051217604,1,2168076,4461.693514,0.932616913,0.051217604,1
223,-16.280222,16.158094,2015,91,210.4637604,0.355123689,0.073267184,1,2170991,210.4637539,0.355123689,0.073267184,1
226,-16.280222,16.158094,2015,100,210.4637604,0.355123689,0.073267184,1,2170991,210.4637539,0.355123689,0.073267184,1
1557,-16.326,29.6043,2014,96,325.2157593,0.476225065,0.027238773,1,2172995,325.2157579,0.476225065,0.027238773,1
1572,-16.326,29.6043,2014,96,325.2157593,0.476225065,0.027238773,1,2172995,325.2157579,0.476225065,0.027238773,1
1582,-16.326,29.6043,2014,87,325.2157593,0.476225065,0.027238773,1,2172995,325.2157579,0.476225065,0.027238773,1
1583,-16.326,29.6043,2014,87,325.2157593,0.476225065,0.027238773,1,2172995,325.2157579,0.476225065,0.027238773,1
2631,-16.326,29.6043,2013,94,325.2157593,0.476225065,0.027238773,1,2172995,325.2157579,0.476225065,0.027238773,1
2632,-16.326,29.6043,2013,90,325.2157593,0.476225065,0.027238773,1,2172995,325.2157579,0.476225065,0.027238773,1
2641,-16.326,29.6043,2013,94,325.2157593,0.476225065,0.027238773,1,2172995,325.2157579,0.476225065,0.027238773,1
2642,-16.326,29.6043,2013,90,325.2157593,0.476225065,0.027238773,1,2172995,325.2157579,0.476225065,0.027238773,1
