Latitude,Longitude,Mosquito_collection_year_end,IR_Test_%mortality
-22.916667,47.816667,2016,100
-22.916667,47.816667,2016,100
-22.916667,47.816667,2016,100
-22.916667,47.816667,2016,100
-23.198337,47.671975,2016,100
-23.198337,47.671975,2016,100
-23.198337,47.671975,2016,100
-23.198337,47.671975,2016,100
-17.329,35.591,2016,33
-17.329,35.591,2016,34
-16.85,36.98333,2016,40
-16.09683,35.77207,2016,45
-16.85,36.98333,2016,51
-16.09683,35.77207,2016,71
-8.39215,36.52632,2016,90
-10.066269,38.927664,2016,17
-3.3388,36.7826,2016,31
-10.066269,38.927664,2016,32
-2.208219,32.537274,2016,92
-3.3388,36.7826,2016,37
-1.5023,31.3916,2016,39
-2.51222,30.65583,2016,98
-6.44222,38.90416,2016,42
-2.51222,30.65583,2016,100
-1.5023,31.3916,2016,44
-1.5,33.8,2016,100
-1.5,33.8,2016,97
-6.44222,38.90416,2016,54
-8.39215,36.52632,2016,63
-2.208219,32.537274,2016,66
-9.52963,33.87896,2016,91
-3.2,31.9,2016,96
-3.2,31.9,2016,100
-9.52963,33.87896,2016,89
-5.223178,38.659056,2016,72
-5.230527,38.838733,2016,69
-16.6463,32.2656,2016,100
-17.39694,32.22666,2016,100
-18.2111,28.4866,2016,92
-19.803237,32.873309,2016,100
-17.6306,27.3441,2016,93
-22.21732,29.99063,2016,100
-17.9515,29.3047,2016,83
-14.92805,14.65878,2015,100
-8.840008,13.289438,2015,97
-6.264953,14.234343,2015,96
-14.92805,14.65878,2015,99
-15.197828,12.157558,2015,100
-7.609277,15.055239,2015,100
-9.825118,16.912251,2015,92
-15.197828,12.157558,2015,93
-7.609277,15.055239,2015,98
-16.280222,16.158094,2015,91
-8.840008,13.289438,2015,100
-9.825118,16.912251,2015,98
-16.280222,16.158094,2015,100
-12.590514,13.416497,2015,96
-12.7667,15.73331,2015,97
11.866667,3.383333,2015,0
11.866667,3.383333,2015,3.93
11.866667,3.383333,2015,13.63
7.21888,2.339421,2015,8
7.21888,2.339421,2015,10
6.677764,2.718197,2015,55.2
6.736827,2.663607,2015,55.2
7.360338,2.604044,2015,55.2
6.983242,2.663606,2015,55.2
6.677764,2.718197,2015,18.2
6.736827,2.663607,2015,18.2
7.360338,2.604044,2015,18.2
6.983242,2.663606,2015,18.2
6.465829,2.401086,2015,20
6.465829,2.401086,2015,20
6.465829,2.401086,2015,45
3.85,11.5,2015,45.76
6.820278,-5.276667,2015,1.03
6.715698,-3.480135,2015,61.8
6.10715,-3.855348,2015,42
7.130231,-3.203118,2015,23.2
7.744277,-7.616844,2015,0
6.566664,-8,2015,10
8.047883,-2.807864,2015,17.1
8.73033,-7.492568,2015,5.7
6.982747,-5.740517,2015,13.1
9.271662,-2.992558,2015,30.9
6.888356,-6.439657,2015,18.1
6.747242,-7.362155,2015,2.9
6.151632,-5.951988,2015,6.8
